date,id,total_current_asset,total_current_liab
2000-03-31,27465,0.0,0.0
2000-06-30,27465,0.0,0.0
2000-09-30,27465,0.0,0.0
2000-12-31,27465,0.0,0.0
2001-03-31,27465,0.0,0.0
2001-06-30,27465,0.0,0.0
2001-09-30,27465,0.0,0.0
2001-12-31,27465,0.0,0.0
2002-03-31,27465,0.0,0.0
2002-06-30,27465,0.0,0.0
2002-09-30,27465,0.0,0.0
2002-12-31,27465,0.0,0.0
2003-03-31,27465,0.0,0.0
2003-06-30,27465,0.0,0.0
2003-09-30,27465,0.0,0.0
2003-12-31,27465,0.0,0.0
2004-03-31,27465,0.0,0.0
2004-06-30,27465,0.0,0.0
2004-09-30,27465,0.0,0.0
2004-12-31,27465,0.0,0.0
2005-03-31,27465,0.0,0.0
2005-06-30,27465,0.0,0.0
2005-09-30,27465,0.0,0.0
2005-12-31,27465,0.0,0.0
2006-03-31,27465,0.0,0.0
2006-06-30,27465,0.0,0.0
2006-09-30,27465,0.0,0.0
2006-12-31,27465,0.0,0.0
2007-03-31,27465,0.0,0.0
2007-06-30,27465,0.0,0.0
2007-09-30,27465,0.0,0.0
2007-12-31,27465,0.0,0.0
2008-03-31,27465,0.0,0.0
2008-06-30,27465,0.0,0.0
2008-09-30,27465,0.0,0.0
2008-12-31,27465,0.0,0.0
2009-03-31,27465,0.0,0.0
2009-06-30,27465,0.0,0.0
2009-09-30,27465,0.0,0.0
2009-12-31,27465,0.0,0.0
2010-03-31,27465,0.0,0.0
2010-06-30,27465,0.0,0.0
2010-09-30,27465,0.0,0.0
2010-12-31,27465,0.0,0.0
2011-03-31,27465,0.0,0.0
2011-06-30,27465,0.0,0.0
2011-09-30,27465,0.0,0.0
2011-12-31,27465,0.0,0.0
2012-03-31,27465,0.0,0.0
2012-06-30,27465,0.0,0.0
2012-09-30,27465,0.0,0.0
2012-12-31,27465,0.0,0.0
2013-03-31,27465,0.0,0.0
2013-06-30,27465,0.0,0.0
2013-09-30,27465,0.0,0.0
2013-12-31,27465,0.0,0.0
2014-03-31,27465,0.0,0.0
2014-06-30,27465,0.0,0.0
2014-09-30,27465,0.0,0.0
2014-12-31,27465,0.0,0.0
2015-03-31,27465,0.0,0.0
2015-06-30,27465,0.0,0.0
2015-09-30,27465,0.0,0.0
2015-12-31,27465,0.0,0.0
2016-03-31,27465,0.0,0.0
2016-06-30,27465,110767.0,89408.0
2016-09-30,27465,103515.0,89188.0
2016-12-31,27465,108461.0,90281.0
2017-03-31,27465,113228.0,91304.0
2017-06-30,27465,113539.0,94299.0
2017-09-30,27465,112732.0,94352.0
2017-12-31,27465,115902.0,94600.0
2018-03-31,27465,123264.0,99878.0
2018-06-30,27465,115025.0,94861.0
2018-09-30,27465,114843.0,94750.0
2018-12-31,27465,114649.0,95569.0
2019-03-31,27465,121195.0,99237.0
2019-06-30,27465,118351.0,98334.0
2019-09-30,27465,115754.0,99087.0
2019-12-31,27465,114047.0,98132.0
2020-03-31,27465,124276.0,94494.0
2020-06-30,27465,124111.0,92780.0
2020-09-30,27465,111765.0,93159.0
2020-12-31,27465,116744.0,97192.0
2021-03-31,27465,113932.0,94249.0
2021-06-30,27465,101275.0,83474.0
2021-09-30,27465,106968.0,89033.0
2021-12-31,27465,108996.0,90727.0
2022-03-31,27465,106142.0,90352.0
2022-06-30,27465,100469.0,86452.0
2022-09-30,27465,108088.0,90167.0
2022-12-31,27465,116476.0,96866.0
2023-03-31,27465,115123.0,95905.0
2023-06-30,27465,121712.0,101015.0
2000-03-31,42601,1270.95,567.165
2000-06-30,42601,1166.64,607.623
2000-09-30,42601,1163.08,659.097
2000-12-31,42601,1361.13,974.956
2001-03-31,42601,855.71,604.71
2001-06-30,42601,809.357,648.24
2001-09-30,42601,870.276,628.198
2001-12-31,42601,1207.92,921.414
2002-03-31,42601,954.273,657.03
2002-06-30,42601,1043.58,660.532
2002-09-30,42601,1119.61,710.998
2002-12-31,42601,1615.68,1065.96
2003-03-31,42601,1344.5,698.579
2003-06-30,42601,1251.25,769.384
2003-09-30,42601,1410.2,826.75
2003-12-31,42601,1820.81,1252.7
2004-03-31,42601,1405.57,865.911
2004-06-30,42601,1561.19,916.354
2004-09-30,42601,1692.78,1051.02
2004-12-31,42601,2539.4,1620.4
2005-03-31,42601,1793.0,1073.0
2005-06-30,42601,1926.0,1144.0
2005-09-30,42601,2121.0,1313.0
2005-12-31,42601,2929.0,1929.0
2006-03-31,42601,2186.0,1407.0
2006-06-30,42601,2231.0,1458.0
2006-09-30,42601,2315.0,1768.0
2006-12-31,42601,3373.0,2532.0
2007-03-31,42601,2600.0,1847.0
2007-06-30,42601,2859.0,1936.0
2007-09-30,42601,3424.0,2319.0
2007-12-31,42601,5164.0,3714.0
2008-03-31,42601,3965.0,3551.0
2008-06-30,42601,4236.0,3216.0
2008-09-30,42601,4430.0,3144.0
2008-12-31,42601,6157.0,4746.0
2009-03-31,42601,4775.0,3410.0
2009-06-30,42601,5304.0,3636.0
2009-09-30,42601,6369.0,4537.0
2009-12-31,42601,9797.0,7364.0
2010-03-31,42601,7964.0,5193.0
2010-06-30,42601,8118.0,5250.0
2010-09-30,42601,9559.0,6375.0
2010-12-31,42601,13747.0,10372.0
2011-03-31,42601,11288.0,7730.0
2011-06-30,42601,11279.0,8045.0
2011-09-30,42601,11904.0,8978.0
2011-12-31,42601,17490.0,14896.0
2012-03-31,42601,12154.0,10488.0
2012-06-30,42601,11793.0,10964.0
2012-09-30,42601,13118.0,12605.0
2012-12-31,42601,21296.0,19002.0
2013-03-31,42601,16313.0,14332.0
2013-06-30,42601,16285.0,14735.0
2013-09-30,42601,17334.0,16135.0
2013-12-31,42601,24625.0,22980.0
2014-03-31,42601,19327.0,18357.0
2014-06-30,42601,18755.0,18751.0
2014-09-30,42601,18572.0,20842.0
2014-12-31,42601,31327.0,28089.0
2015-03-31,42601,25922.0,23177.0
2015-06-30,42601,26391.0,23912.0
2015-09-30,42601,28849.0,26657.0
2015-12-31,42601,36474.0,33899.0
2016-03-31,42601,30513.0,28187.0
2016-06-30,42601,32220.0,29587.0
2016-09-30,42601,35609.0,33498.0
2016-12-31,42601,45781.0,43816.0
2017-03-31,42601,39460.0,37399.0
2017-06-30,42601,41007.0,40520.0
2017-09-30,42601,48578.0,47072.0
2017-12-31,42601,60197.0,57883.0
2018-03-31,42601,50829.0,48045.0
2018-06-30,42601,54481.0,50801.0
2018-09-30,42601,59885.0,55324.0
2018-12-31,42601,75101.0,68391.0
2019-03-31,42601,69431.0,63695.0
2019-06-30,42601,76790.0,69678.0
2019-09-30,42601,79054.0,72136.0
2019-12-31,42601,96334.0,87812.0
2020-03-31,42601,85985.0,79711.0
2020-06-30,42601,110908.0,93896.0
2020-09-30,42601,112969.0,101912.0
2020-12-31,42601,132733.0,126385.0
2021-03-31,42601,121408.0,115404.0
2021-06-30,42601,140848.0,117792.0
2021-09-30,42601,138531.0,123994.0
2021-12-31,42601,161580.0,142266.0
2022-03-31,42601,133876.0,139508.0
2022-06-30,42601,133667.0,140291.0
2022-09-30,42601,131463.0,140363.0
2022-12-31,42601,146791.0,155393.0
2023-03-31,42601,136221.0,147570.0
2023-06-30,42601,140482.0,148238.0
2000-03-31,77574,32030.0,32415.0
2000-06-30,77574,35745.0,32848.0
2000-09-30,77574,38221.0,30969.0
2000-12-31,77574,45930.0,42698.0
2001-03-31,77574,40981.0,36104.0
2001-06-30,77574,38060.0,34271.0
2001-09-30,77574,34696.0,28944.0
2001-12-31,77574,30478.0,33467.0
2002-03-31,77574,33856.0,37716.0
2002-06-30,77574,37060.0,43946.0
2002-09-30,77574,40529.0,49100.0
2002-12-31,77574,40546.0,55115.0
2003-03-31,77574,46110.0,55279.0
2003-06-30,77574,41159.0,49968.0
2003-09-30,77574,41545.0,49209.0
2003-12-31,77574,43611.0,54424.0
2004-03-31,77574,48727.0,54966.0
2004-06-30,77574,49558.0,54333.0
2004-09-30,77574,57675.0,57773.0
2004-12-31,77574,61848.0,60664.0
2005-03-31,77574,71594.0,66591.0
2005-06-30,77574,81506.0,70676.0
2005-09-30,77574,121300.0,103692.0
2005-12-31,77574,97892.0,84964.0
2006-03-31,77574,95168.0,80470.0
2006-06-30,77574,98761.0,82235.0
2006-09-30,77574,98526.0,83566.0
2006-12-31,77574,91885.0,76748.0
2007-03-31,77574,94142.0,81642.0
2007-06-30,77574,102263.0,80858.0
2007-09-30,77574,103634.0,82515.0
2007-12-31,77574,115397.0,94384.0
2008-03-31,77574,134108.0,112897.0
2008-06-30,77574,175855.0,150599.0
2008-09-30,77574,131363.0,112728.0
2008-12-31,77574,116570.0,105529.0
2009-03-31,77574,114481.0,100711.0
2009-06-30,77574,108046.0,93755.0
2009-09-30,77574,106661.0,89143.0
2009-12-31,77574,96457.0,84789.0
2010-03-31,77574,100036.0,84353.0
2010-06-30,77574,102595.0,84432.0
2010-09-30,77574,102973.0,92786.0
2010-12-31,77574,112894.0,100552.0
2011-03-31,77574,128343.0,111440.0
2011-06-30,77574,128913.0,108881.0
2011-09-30,77574,128035.0,107528.0
2011-12-31,77574,119777.0,102659.0
2012-03-31,77574,127985.0,108489.0
2012-06-30,77574,116777.0,97666.0
2012-09-30,77574,122169.0,104229.0
2012-12-31,77574,114734.0,96979.0
2013-03-31,77574,115743.0,99621.0
2013-06-30,77574,103876.0,91269.0
2013-09-30,77574,106659.0,93782.0
2013-12-31,77574,103343.0,93258.0
2014-03-31,77574,104423.0,92381.0
2014-06-30,77574,112005.0,94904.0
2014-09-30,77574,105401.0,88429.0
2014-12-31,77574,99778.0,86212.0
2015-03-31,77574,91531.0,79502.0
2015-06-30,77574,100395.0,78495.0
2015-09-30,77574,100252.0,76669.0
2015-12-31,77574,93358.0,70948.0
2016-03-31,77574,81250.0,78465.0
2016-06-30,77574,85395.0,77465.0
2016-09-30,77574,87098.0,74937.0
2016-12-31,77574,86569.0,73825.0
2017-03-31,77574,85385.0,70783.0
2017-06-30,77574,88052.0,71245.0
2017-09-30,77574,91924.0,74920.0
2017-12-31,77574,95404.0,79767.0
2018-03-31,77574,98046.0,81589.0
2018-06-30,77574,103512.0,81521.0
2018-09-30,77574,107246.0,89746.0
2018-12-31,77574,97482.0,77813.0
2019-03-31,77574,95990.0,82844.0
2019-06-30,77574,93096.0,84317.0
2019-09-30,77574,86186.0,75165.0
2019-12-31,77574,92689.0,79624.0
2020-03-31,77574,84973.0,76243.0
2020-06-30,77574,86201.0,69393.0
2020-09-30,77574,92311.0,70541.0
2020-12-31,77574,90695.0,73951.0
2021-03-31,77574,99559.0,76431.0
2021-06-30,77574,111682.0,84502.0
2021-09-30,77574,131570.0,104230.0
2021-12-31,77574,128765.0,95547.0
2022-03-31,77574,152021.0,113298.0
2022-06-30,77574,165224.0,118678.0
2022-09-30,77574,163318.0,118672.0
2022-12-31,77574,165937.0,121311.0
2023-03-31,77574,150573.0,102677.0
2023-06-30,77574,140486.0,96129.0
